当前排名,视频标题,播放量,弹幕数量,评分,作者,链接,时长,评论量,收藏,硬币,分享,点赞
1,甲方，你睡了吗？我睡不着,511万,8849,4260346,脆椰椰大王,//www.bilibili.com/video/BV1L34114753,237,13173,48687,141482,23597,466990
2,好兄弟是什么，能吃吗？,357.5万,3.2万,3695675,老番茄,//www.bilibili.com/video/BV1Bi4y1o7uj,836,8177,60639,149103,7875,372999
3,开会时进来一个奇怪的人...好怪噢，再看一眼！,303万,2932,3132136,逗比的雀巢,//www.bilibili.com/video/BV13Q4y1i7YP,193,3184,39079,87320,7441,313330
4,三句话让谭sir送你驾照18分，真正认识红绿灯。,237.7万,1.6万,2945344,谭乔,//www.bilibili.com/video/BV19h411s7oq,452,4450,44563,201167,23304,270910
5,“10块钱25个，我在冬天不赚钱！”天津4毛锅贴店，20年成街边相声餐馆！,173.2万,9858,2491358,盗月社食遇记,//www.bilibili.com/video/BV1R34y1R7ps,593,3654,24767,109309,8621,221395
6,惊艳！听完一曲《探窗》，网友：你永远可以相信国粹！,219.1万,3753,2308941,共青团中央,//www.bilibili.com/video/BV1dL411M7Se,191,4048,102304,97572,14668,292770
7,谁会带着冷兵器参加二战？【硬核狠人18】,162.9万,1.9万,2229522,小约翰可汗,//www.bilibili.com/video/BV1oq4y1B7pM,1314,10324,26906,91680,6789,151669
8,【罗翔】《我不是药神》再次上演？“定罪不起诉”依然属于犯罪？,155.9万,8209,2015074,罗翔说刑法,//www.bilibili.com/video/BV19M4y1P7SU,918,6832,14987,56515,4193,166953
9,【离大谱】up算出了自己被“白嫖”了多少次？ B站百亿弹幕可绕地球几圈？,119.9万,4307,1940052,最上川下山,//www.bilibili.com/video/BV1HS4y1X737,232,3461,12838,66186,2720,166327
10,《宇 宙 级 の 转 音》,145.8万,3222,1935991,澄田花苗,//www.bilibili.com/video/BV1Zg411N7sh,4831,4369,52569,42477,9829,159697
11,"过亿！莫奈名画睡莲拍卖现场，两大佬""打""起来了?",167.2万,9841,1892099,-LKs-,//www.bilibili.com/video/BV17q4y1z7ey,743,5158,18470,47952,23460,140271
12,暗访吉野家，蔬菜过期，肉沫变质，油质发黑添加新油继续使用,194.6万,4516,1717717,内幕纠察局,//www.bilibili.com/video/BV1H3411b7Xb,384,6969,12898,58659,24288,131663
13,如果只靠大数据推荐购物。。我会买到啥。。。,107.5万,1万,1701497,nya酱的一生,//www.bilibili.com/video/BV17341147Sa,602,3749,13550,39113,3316,136534
14,10元一口喷香碳水小炸弹！虎皮烧肉终极进阶吃法,91.1万,5741,1668633,二喵的饭,//www.bilibili.com/video/BV1AL41177zm,392,1541,14975,52591,2611,125219
15,这个我是真心喜欢！【阅片无数Ⅱ 29】,127.4万,8180,1612269,凉风Kaze,//www.bilibili.com/video/BV1dg411A7N8,633,2791,11268,26009,1529,136584
16,终极魔性丝滑原神！开启循环根本出不去！,73.2万,394,1532646,呆临,//www.bilibili.com/video/BV1s34y1R7u9,65,1048,33038,40415,5668,80879
17,动画《英雄联盟：双城之战》主题曲！好听好听～【MayTree五月树】,104.6万,775,1448699,MayTree五月树,//www.bilibili.com/video/BV1XS4y1X7ts,81,1875,14037,43198,4977,86706
18,大学生如何在宿舍里拍出 《非诚勿扰》,201.7万,6369,1438078,Mellomaster3,//www.bilibili.com/video/BV11q4y1B7Xv,368,4203,35602,86911,37303,214163
19,【时代少年团】《这福气给你要不要》之福贸采购会,97万,18.3万,1427582,TF家族,//www.bilibili.com/video/BV1VF41187bQ,1522,16574,12916,22463,1796,72300
20,《母，爱如山》【vrchat】,104.7万,3473,1406080,难道越越不可爱,//www.bilibili.com/video/BV1q3411b7tW,210,3320,11897,43566,5342,80786
21,穿 山 甲 队 长,91.5万,1160,1394059,快乐阿依,//www.bilibili.com/video/BV1BR4y147i2,84,1078,23505,21073,15043,74649
22,飞行模式（2021火星演唱会现场版）- 华晨宇,48.2万,1.4万,1389749,火星演唱会Mars,//www.bilibili.com/video/BV1tr4y1Q7oy,264,13145,26781,43352,17959,34830
23,美国休斯敦，四面五星红旗同时升起！,90.2万,1580,1354669,人民日报,//www.bilibili.com/video/BV1MS4y1X7md,46,2144,9637,5678,4296,117410
24,💗 送你一颗流星⭐════,120.8万,1.9万,1352525,花花Haya,//www.bilibili.com/video/BV1yr4y1r7f6,326,46773,32485,74310,11016,76441
25,老吴来海南找浩哥，发现海南好风光，恋恋不舍不想离开,96.3万,7643,1350602,大漠叔叔,//www.bilibili.com/video/BV1JF41187mc,405,2958,4360,24558,1218,113312
26,印度街头玛莎拉柠檬水,169.4万,4681,1317132,刘庸干净又卫生,//www.bilibili.com/video/BV1PL41177cS,98,3407,2903,9383,3020,115443
27,危！趁女友熟睡…我把她涂成了一只美猴王？！,76万,3933,1316841,盖里老哥,//www.bilibili.com/video/BV1Ug411A7kZ,400,2279,5978,35164,6663,99554
